year,month,stateid,price,price-units
2023,12,HI,0.0,cents per kilowatt-hour
2023,12,ID,11.53,cents per kilowatt-hour
2023,12,ID,0.0,cents per kilowatt-hour
2023,12,IL,14.84,cents per kilowatt-hour
2023,12,IL,7.29,cents per kilowatt-hour
2023,12,IN,14.58,cents per kilowatt-hour
2023,12,IN,11.56,cents per kilowatt-hour
2023,12,IA,11.95,cents per kilowatt-hour
2023,12,IA,0.0,cents per kilowatt-hour
2023,12,KS,12.72,cents per kilowatt-hour
2023,12,KS,0.0,cents per kilowatt-hour
2023,12,KY,12.34,cents per kilowatt-hour
2023,12,KY,0.0,cents per kilowatt-hour
2023,12,LA,11.21,cents per kilowatt-hour
2023,12,LA,11.22,cents per kilowatt-hour
2023,12,ME,27.99,cents per kilowatt-hour
2023,12,ME,0.0,cents per kilowatt-hour
2023,12,MD,17.46,cents per kilowatt-hour
2023,10,WY,12.49,cents per kilowatt-hour
2023,10,WY,0.0,cents per kilowatt-hour
2023,10,NEW,28.05,cents per kilowatt-hour
2023,10,NEW,10.94,cents per kilowatt-hour
2023,10,MAT,19.67,cents per kilowatt-hour
2023,10,MAT,14.21,cents per kilowatt-hour
2023,10,ENC,16.51,cents per kilowatt-hour
2023,10,ENC,7.35,cents per kilowatt-hour
2023,10,WNC,13.22,cents per kilowatt-hour
2023,10,WNC,12.44,cents per kilowatt-hour
2023,10,SAT,15.0,cents per kilowatt-hour
2023,10,SAT,10.25,cents per kilowatt-hour
2023,10,ESC,13.48,cents per kilowatt-hour
2023,10,ESC,0.0,cents per kilowatt-hour
2023,10,WSC,14.18,cents per kilowatt-hour
2023,10,WSC,7.34,cents per kilowatt-hour
2023,9,LA,11.42,cents per kilowatt-hour
2023,9,LA,10.52,cents per kilowatt-hour
2023,9,ME,26.79,cents per kilowatt-hour
2023,9,ME,0.0,cents per kilowatt-hour
2023,9,MD,16.95,cents per kilowatt-hour
2023,9,MD,11.44,cents per kilowatt-hour
2023,9,MA,28.18,cents per kilowatt-hour
2023,9,MA,6.79,cents per kilowatt-hour
2023,9,MI,19.49,cents per kilowatt-hour
2023,9,MI,13.71,cents per kilowatt-hour
2023,9,MN,15.44,cents per kilowatt-hour
2023,9,MN,12.53,cents per kilowatt-hour
2023,1,NJ,16.89,cents per kilowatt-hour
2023,1,NJ,14.36,cents per kilowatt-hour
2023,11,MAT,14.82,cents per kilowatt-hour
2023,11,ENC,16.18,cents per kilowatt-hour
2023,11,ENC,5.94,cents per kilowatt-hour
2023,11,WNC,12.67,cents per kilowatt-hour
2023,11,WNC,10.47,cents per kilowatt-hour
2023,11,SAT,14.54,cents per kilowatt-hour
2023,11,SAT,10.21,cents per kilowatt-hour
2023,11,ESC,13.53,cents per kilowatt-hour
2023,11,ESC,0.0,cents per kilowatt-hour
2023,1,NM,13.27,cents per kilowatt-hour
2023,1,NM,0.0,cents per kilowatt-hour
2023,1,NY,23.62,cents per kilowatt-hour
2023,1,NY,14.75,cents per kilowatt-hour
2023,1,NC,12.37,cents per kilowatt-hour
2023,1,NC,7.69,cents per kilowatt-hour
2023,11,WSC,13.86,cents per kilowatt-hour
2023,11,WSC,7.77,cents per kilowatt-hour
